P;x;y;z;;;X;Y
1;0;0;274;;;2083;424
2;0;59;274;;;2316;433
3;0;118;274;;;2556;441
4;0;177;274;;;2799;450
5;0;236;274;;;3050;459
6;0;295;274.5;;;3309;468
7;0;354;274.5;;;3578;480
8;0;0;233;;;2106;590
9;0;59;233;;;2330;601
10;0;118;233;;;2565;608
11;0;177;233;;;2805;620
12;0;236;233;;;3048;632
13;0;295;233;;;3302;643
14;0;354;233;;;3562;654
15;0;0;192;;;2124;746
16;0;59;192;;;2343;761
17;0;118;192;;;2574;772
18;0;177;192;;;2808;784
19;0;236;192.5;;;3048;797
20;0;295;192;;;3295;809
21;0;354;192.5;;;3552;822
22;0;0;151;;;2141;896
23;0;59;151;;;2357;913
24;0;118;151;;;2583;928
25;0;177;151;;;2810;940
26;0;236;151.5;;;3046;950
27;0;295;151;;;3290;967
28;0;354;151.5;;;3538;983
29;0;0;110.5;;;2162;1039
30;0;59;110.5;;;2371;1056
31;0;118;110.5;;;2588;1073
32;0;177;110.5;;;2815;1086
33;0;236;111;;;3048;1103
34;0;295;110.5;;;3284;1118
35;0;354;110.5;;;3528;1135
36;0;0;70;;;2178;1179
37;0;59;70;;;2384;1197
38;0;118;70;;;2598;1216
39;0;177;70;;;2817;1240
40;0;236;70.5;;;3044;1247
41;0;295;70;;;3280;1266
42;0;354;70.5;;;3522;1280
43;0;0;29;;;2194;1306
44;0;59;29;;;2398;1326
45;0;118;29;;;2602;1347
46;0;177;29;;;2822;1365
47;0;236;29.5;;;3044;1380
48;0;295;29;;;3274;1400
49;0;354;29.5;;;3508;1416
50;23;0;0;;;2176;1436
51;23.5;59;0;;;2382;1458
52;23.5;118;0;;;2593;1468
53;23;177;0;;;2808;1498
54;24;236.5;0;;;3028;1518
55;24;295.5;0;;;3257;1542
56;24;354;0;;;3488;1571
57;64;0;0;;;2123;1511
58;64;59;0;;;2337;1535
59;64;118;0;;;2552;1558
60;64;177;0;;;2774;1580
61;64;236.5;0;;;2999;1603
62;64;295.5;0;;;3236;1629
63;64.5;354;0;;;3474;1646
64;105;0;0;;;2036;1597
65;105;59;0;;;2285;1617
66;105;118;0;;;2508;1644
67;105.5;177;0;;;2734;1670
68;105.5;236.5;0;;;2970;1695
69;105.5;295.5;0;;;3210;1724
70;105.5;354;0;;;3456;1746
71;145.5;0;0;;;2011;1686
72;145;59;0;;;2233;1708
73;145.5;118;0;;;2462;1733
74;145;177;0;;;2696;1765
75;145.5;236.5;0;;;2933;1792
76;145.5;295.5;0;;;3182;1820
77;146;354;0;;;3439;1849
78;185.5;0;0;;;1950;1780
79;185;59;0;;;2176;1805
80;185;118;0;;;2410;1833
81;185.5;177;0;;;2652;1863
82;185;236;0;;;2902;1893
83;185;295.5;0;;;3157;1927
84;186.5;354;0;;;3422;1955
85;227;0;0;;;1882;1874
86;227;59;0;;;2117;1909
87;227;118;0;;;2357;1939
88;227;177;0;;;2608;1970
89;227;236;0;;;2861;2002
90;227;295.5;0;;;3128;2036
91;277.5;354;0;;;3401;2069
92;268;0;0;;;1808;1980
93;268;59;0;;;2052;2013
94;268;118;0;;;2303;2050
95;268;177;0;;;2560;2082
96;268;236;0;;;2824;2120
97;268;295.5;0;;;3100;2157
98;268.5;354;0;;;3381;2193
