P,x,y,z
1,0,0,274
2,0,59,274
3,0,118,274
4,0,177,274
5,0,236,274
6,0,295,274.5
7,0,354,274.5
8,0,0,233
9,0,59,233
10,0,118,233
11,0,177,233
12,0,236,233
13,0,295,233
14,0,354,233
15,0,0,192
16,0,59,192
17,0,118,192
18,0,177,192
19,0,236,192.5
20,0,295,192
21,0,354,192.5
22,0,0,151
23,0,59,151
24,0,118,151
25,0,177,151
26,0,236,151.5
27,0,295,151
28,0,354,151.5
29,0,0,110.5
30,0,59,110.5
31,0,118,110.5
32,0,177,110.5
33,0,236,111
34,0,295,110.5
35,0,354,110.5
36,0,0,70
37,0,59,70
38,0,118,70
39,0,177,70
40,0,236,70.5
41,0,295,70
42,0,354,70.5
43,0,0,29
44,0,59,29
45,0,118,29
46,0,177,29
47,0,236,29.5
48,0,295,29
49,0,354,29.5
50,23,0,0
51,23.5,59,0
52,23.5,118,0
53,23,177,0
54,24,236.5,0
55,24,295.5,0
56,24,354,0
57,64,0,0
58,64,59,0
59,64,118,0
60,64,177,0
61,64,236.5,0
62,64,295.5,0
63,64.5,354,0
64,105,0,0
65,105,59,0
66,105,118,0
67,105.5,177,0
68,105.5,236.5,0
69,105.5,295.5,0
70,105.5,354,0
71,145.5,0,0
72,145,59,0
73,145.5,118,0
74,145,177,0
75,145.5,236.5,0
76,145.5,295.5,0
77,146,354,0
78,185.5,0,0
79,185,59,0
80,185,118,0
81,185.5,177,0
82,185,236,0
83,185,295.5,0
84,186.5,354,0
85,227,0,0
86,227,59,0
87,227,118,0
88,227,177,0
89,227,236,0
90,227,295.5,0
91,277.5,354,0
92,268,0,0
93,268,59,0
94,268,118,0
95,268,177,0
96,268,236,0
97,268,295.5,0
98,268.5,354,0
